id;latitude;longitude;score;UGA
520002270;48,637048;4,949255;64;52SDI
520002304;48,636332;4,956835;77;52SDI
520002320;48,628921;4,954046;129;52SDI
520002403;48,637479;4,939839;190;52SDI
520002437;48,639791;4,946948;143;52SDI
520002502;48,499304;4,947692;141;52SDI
520002536;48,498025;4,947916;116;52SDI
550001473;48,610358;5,080607;156;52SDI
070002001;44,718497;4,355861;46;07LAR
070002035;44,612365;4,391046;67;07LAR
070002050;44,618593;4,380646;94;07LAR
070002134;44,619333;4,389745;78;07LAR
070002167;44,614557;4,400125;127;07LAR
070002423;44,799572;3,978234;173;07LAR
070002605;44,637387;4,257352;85;07LAR
070002621;44,480322;4,241148;62;07LAR
070002654;44,476946;4,227084;67;07LAR
070002670;44,645226;4,370532;42;07LAR
070002720;44,569742;4,368263;70;07LAR
070002753;44,647319;4,32505;49;07LAR
070002852;44,541506;4,293269;197;07LAR
070002886;44,542213;4,292501;137;07LAR
070002902;44,509222;4,290613;118;07LAR
070002951;44,710354;4,208023;195;07LAR
070003272;44,482103;4,266033;139;07LAR
070003371;44,594393;4,375771;52;07LAR
070003553;44,337938;4,152589;189;07LAR
070003637;44,627397;4,412895;81;07LAR
070003850;44,674895;4,220996;117;07LAR
070004056;44,659628;4,366995;74;07LAR
070004072;44,666108;4,36614;186;07LAR
070004122;44,405548;4,130413;79;07LAR
070004155;44,406826;4,137471;157;07LAR
430001750;44,894157;3,850118;124;07LAR
430001933;44,843559;3,830666;179;07LAR
430002485;44,777433;3,888882;191;07LAR
480782689;44,439729;3,932172;186;07LAR
480782770;44,724529;3,86064;149;07LAR
480782853;44,725927;3,854793;130;07LAR
480782994;44,726849;3,85604;25;07LAR
480783455;44,592097;3,906051;43;07LAR
120004312;44,890359;2,745884;155;15SFL
150000503;45,229408;2,934387;135;15SFL
150001105;44,853765;3,003802;100;15SFL
150001337;45,252262;3,197413;147;15SFL
150001352;45,251909;3,198396;55;15SFL
150001584;45,110763;2,8676;106;15SFL
150001634;45,12619;2,974272;85;15SFL
150001667;44,930582;2,986902;36;15SFL
150001683;44,921165;2,839273;157;15SFL
150001733;44,950662;2,577765;83;15SFL
150001832;45,001267;3,221397;31;15SFL
150001907;45,038596;3,066684;103;15SFL
150001923;45,03408;3,099692;159;15SFL
150001956;45,033363;3,092353;172;15SFL
150001972;45,033007;3,091769;42;15SFL
150002012;45,033613;3,102446;161;15SFL
150002160;45,014534;2,666566;172;15SFL
150002210;45,065113;2,906172;46;15SFL
150002244;44,966719;2,607601;118;15SFL
150002376;45,035822;2,597564;74;15SFL
150003135;45,035822;2,597564;107;15SFL
430001404;45,318386;3,169969;117;15SFL
630002707;45,403358;3,125638;157;15SFL
040001349;43,992719;6,194422;182;04DIG
040001588;44,240844;6,628199;83;04DIG
040002297;43,843978;6,22106;87;04DIG
040002313;44,045039;6,131787;78;04DIG
040002347;43,757281;5,886086;80;04DIG
040002420;44,100118;6,231772;145;04DIG
040002453;44,076324;6,187397;63;04DIG
040002537;44,086341;6,213622;152;04DIG
040002545;44,110134;6,013831;56;04DIG
040002602;44,092991;6,008839;39;04DIG
040002610;44,179687;6,625395;92;04DIG
040002644;43,961988;6,505268;169;04DIG
040002651;44,091734;6,233136;199;04DIG
040002685;43,835588;5,97911;33;04DIG
040002701;44,092085;6,234513;119;04DIG
040002727;43,847281;6,511957;129;04DIG
040002743;43,758311;5,886015;177;04DIG
040002776;44,089628;6,238576;178;04DIG
040002834;43,817485;6,091526;168;04DIG
040002842;44,074229;5,99315;120;04DIG
040002883;44,09229;6,233896;184;04DIG
040002933;44,047761;6,026183;138;04DIG
040003022;44,273202;6,579805;58;04DIG
830008637;43,694836;5,916447;148;04DIG
830013371;43,723674;5,810535;200;04DIG
040002677;43,965219;6,667623;55;06CAR
040003030;43,948662;6,810334;64;06CAR
060004462;43,786924;7,344436;110;06CAR
060004488;43,784173;7,243453;122;06CAR
060004991;43,772966;7,192573;143;06CAR
060005030;43,773221;7,19357;126;06CAR
060005113;43,813462;7,342544;124;06CAR
060005147;43,809753;7,315778;22;06CAR
060005162;43,775698;7,190048;101;06CAR
060005196;43,770409;7,332308;184;06CAR
060005212;43,755483;7,320511;42;06CAR
060005311;44,088992;6,85357;168;06CAR
060005345;44,188732;7,041448;178;06CAR
060005493;43,974606;7,312103;59;06CAR
060005543;43,83447;7,353819;169;06CAR
060005592;43,851961;7,235239;53;06CAR
060006343;43,954687;6,890641;128;06CAR
060006376;44,012783;7,307877;51;06CAR
060007093;44,254386;6,924636;138;06CAR
060007341;43,818349;7,190549;41;06CAR
060007374;44,069651;7,256747;139;06CAR
060009875;44,088673;6,85753;68;06CAR
060010212;43,791018;7,273537;50;06CAR
060019312;43,858221;7,197183;73;06CAR
060020245;44,225637;6,931157;159;06CAR
060020351;43,810198;7,315053;133;06CAR
060020435;43,85192;7,164113;132;06CAR
060023926;43,936645;7,097234;157;06CAR
060023967;43,848396;6,726349;126;06CAR
060023983;43,936016;7,095982;175;06CAR
280001512;48,461123;1,773685;150;28CHA
280001546;48,462184;1,773198;123;28CHA
280001660;48,435426;1,710053;87;28CHA
280001694;48,182197;1,386636;43;28CHA
280001710;48,180272;1,3872;188;28CHA
280001876;48,438247;1,510049;166;28CHA
280002437;48,070743;1,328104;169;28CHA
280002452;48,073961;1,345279;54;28CHA
280002486;48,069743;1,329133;136;28CHA
280002536;48,070495;1,330523;100;28CHA
280002551;48,07916;1,347109;53;28CHA
280002684;47,970975;1,326033;134;28CHA
280003385;48,196851;1,890193;190;28CHA
280003906;48,446588;1,577253;55;28CHA
280004136;48,145613;1,68307;97;28CHA
280004185;48,362036;1,634366;109;28CHA
280004201;48,066124;1,302288;54;28CHA
280004417;48,416032;1,879375;38;28CHA
280004433;48,192421;1,575164;185;28CHA
280004458;48,35425;1,775532;91;28CHA
280004516;48,412906;1,59945;156;28CHA
280004573;48,195956;1,937265;83;28CHA
280004805;48,271238;1,626815;119;28CHA
280007154;48,092865;1,487493;119;28CHA
450004296;48,161163;2,04601;160;28CHA
450015441;48,211492;2,019614;104;28CHA
910005107;48,311846;1,999063;37;28CHA
